대분류번호,대분류명,검색키,검색키워드,분기기준,분기조건,금액하한,금액상한,기안권자,전결권자,비고
1,주요업무에 관한 사항,소관 주요업무 시행계획 및 심사분석,소관 주요업무 시행계획 심사분석,없음,,,,담당자,국·소장,
1,주요업무에 관한 사항,주요시책 또는 사업계획 수립 및 변경,주요시책 또는 사업계획 수립 변경,없음,,,,실·단·과장,구청장,
2,예산운영에 관한 사항,기금에 관한 사항,기금에 관한 사항,없음,,,,담당자,실·단·과장,
2,예산운영에 관한 사항,기금운영 계획 수립 및 결산 보고,기금운영 계획 수립 결산 보고,없음,,,,팀장,구청장,
2,예산운영에 관한 사항,소관별 국·시비 보조금 및 교부금 신청·정산,소관별 시비 보조금 교부금 신청 정산 국시비,없음,,,,팀장,부구청장,
2,예산운영에 관한 사항,예비비 지출 요구,예비비 지출 요구,없음,,,,팀장,구청장,
2,예산운영에 관한 사항,예산의 (재)배정 요구,예산의 배정 요구,없음,,,,담당자,실·단·과장,
2,예산운영에 관한 사항,예산의 변경,예산의 변경,없음,,,,담당자,국·소장,
2,예산운영에 관한 사항,예산의 수시배정 요구,예산의 수시배정 요구,없음,,,,담당자,담당자,담당자 단독전결(위로 안 올림)
2,예산운영에 관한 사항,예산의 전용·이용·이체 요구,예산의 전용 이용 이체 요구 예산전용 예산이용 예산이체,없음,,,,담당자,부구청장,
2,예산운영에 관한 사항,"예산의 편성요구 및 자료 작성 제출(성인지예산서, 예산의 성과계획서, 중기지방재정계획)",예산의 편성요구 자료 작성 제출 성인지예산서 성과계획서 중기지방재정계획 성인지 중기재정,없음,,,,담당자,실·단·과장,
2,예산운영에 관한 사항,추가경정예산 성립 전 사용승인 요구,추가경정예산 성립 사용승인 요구 추경,없음,,,,담당자,실·단·과장,
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,가. 공사 또는 토지매입 추정금액 / 1억원 초과 ~ 2억원,100000000,200000000,담당자,부구청장,2억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,가. 공사 또는 토지매입 추정금액 / 2천만원 초과 ~ 1억원,20000000,100000000,담당자,국·소장,2억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,가. 공사 또는 토지매입 추정금액 / 2천만원 이하,0,20000000,담당자,실·단·과장,2억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,나. 제조·용역 또는 물건의 매입 예정금액 / 5천만원 초과 ~ 1억원,50000000,100000000,담당자,부구청장,1억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,나. 제조·용역 또는 물건의 매입 예정금액 / 2천만원 초과 ~ 5천만원,20000000,50000000,담당자,국·소장,1억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,나. 제조·용역 또는 물건의 매입 예정금액 / 2천만원 이하,0,20000000,담당자,실·단·과장,1억원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,"다. 위 가, 나목 이외의 집행 시 / 3천만원 초과 ~ 5천만원",30000000,50000000,담당자,부구청장,5천만원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,"다. 위 가, 나목 이외의 집행 시 / 2천만원 초과 ~ 3천만원(+임시일상경비)",20000000,30000000,담당자,국·소장,5천만원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,금액,"다. 위 가, 나목 이외의 집행 시 / 2천만원 이하",0,20000000,담당자,실·단·과장,5천만원 초과는 원문 미규정(gap)
3,예산집행 품의에 관한 사항,공사 또는 토지의 매입 제조 및 용역 예산 집행,공사 또는 토지의 매입 제조 용역 예산 집행,없음,"라. 봉급, 수당 등 법령에 따른 지출 (금액무관)",,,담당자,실·단·과장,
4,공사집행에 관한 사항,계획 범위 내의 물자 배정,계획 범위 내의 물자 배정,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,공사 보상금 지급 - 가. 지급결정,공사 보상금 지급 가. 지급결정,없음,,,,팀장,구청장,
4,공사집행에 관한 사항,"공사 보상금 지급 - 나. 명의, 금액 지급 변경(지급결정 범위 내)",공사 보상금 지급 나. 명의 금액 변경 지급결정 범위,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,공사 보상금 지급 - 다. 추가지급,공사 보상금 지급 다. 추가지급,없음,,,,담당자,국·소장,
4,공사집행에 관한 사항,공사 하자보수 명령,공사 하자보수 명령,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,공사로 인한 공작물 이전소속 및 소유권 이전허가,공사로 인한 공작물 이전소속 소유권 이전허가,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,공사용 자재의 공차 사용,공사용 자재의 공차 사용,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,공사현장 보고서,공사현장 보고서,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,도급공사의 기성부분 준공검사,도급공사의 기성부분 준공검사,없음,,,,담당자,국·소장,
4,공사집행에 관한 사항,"도급공사의 중지, 해제결정과 공사기간의 연기결정",도급공사의 중지 해제결정과 공사기간의 연기결정,없음,,,,담당자,국·소장,
4,공사집행에 관한 사항,설계 범위 내의 인부 고용,설계 범위 내의 인부 고용,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,설계변경(변경금액 기준),설계변경 변경금액 기준,금액,가. 1억원 초과 / 1억원 초과,100000000,,담당자,부구청장,
4,공사집행에 관한 사항,설계변경(변경금액 기준),설계변경 변경금액 기준,금액,나. 1억원 이하 / 5천만원 초과 ~ 1억원,50000000,100000000,담당자,국·소장,
4,공사집행에 관한 사항,설계변경(변경금액 기준),설계변경 변경금액 기준,금액,다. 5천만원 이하 / 5천만원 이하,0,50000000,담당자,실·단·과장,
4,공사집행에 관한 사항,시공감독원 지정,시공감독원 지정,없음,,,,담당자,실·단·과장,
4,공사집행에 관한 사항,주요공사의 기본방침 결정 및 변경,주요공사의 기본방침 결정 변경,없음,,,,팀장,구청장,
4,공사집행에 관한 사항,준공검사관 지정,준공검사관 지정,금액,가. 1억원 이상 / 1억원 이상,100000000,,담당자,국·소장,
4,공사집행에 관한 사항,준공검사관 지정,준공검사관 지정,금액,나. 1억원 미만 / 1억원 미만,0,99999999,담당자,실·단·과장,
5,복무에 관한 사항,공가,공가,기간+직급,"1일 이상 · (1) 국장, 보건소장",,,국·소장,부구청장,연가·병가·공가·특별휴가 전결 동일(원문 일괄규정)
5,복무에 관한 사항,공가,공가,기간+직급,"1일 이상 · (2) 실장, 단장",,,실·단·과장,부구청장,연가·병가·공가·특별휴가 전결 동일(원문 일괄규정)
5,복무에 관한 사항,공가,공가,기간+직급,"1일 이상 · (3) 과장, 동장",,,실·단·과장,국·소장,연가·병가·공가·특별휴가 전결 동일(원문 일괄규정)
5,복무에 관한 사항,공가,공가,기간+직급,1일 이상 · (4) 6급 이하 직원,,,"담당자, 팀장",실·단·과장,연가·병가·공가·특별휴가 전결 동일(원문 일괄규정)
5,복무에 관한 사항,공휴일근무,공휴일근무 휴일근무,직급,"(1) 국장, 보건소장, 실장, 단장, 과장",,,실·단·과장,부구청장,
5,복무에 관한 사항,공휴일근무,공휴일근무 휴일근무,직급,(2) 6급 이하 직원,,,담당자,실·단·과장,
5,복무에 관한 사항,관내출장,관내출장 출장,기간+직급,"1일 미만 · (1) 국장, 보건소장",,,국·소장,부구청장,준용: 1일 미만→나목 기준(원문 미명시·해석)
